0,48.16778,17.105829999999997,-5.3,993.4,87.0,1.6,51.2
0,49.2894,21.2739,-12.7,991.6,89.2,0.6,140.5
1,48.16778,17.105829999999997,-5.2,993.2,84.8,1.8,95.7
1,49.2894,21.2739,-12.9,991.3,90.4,0.3,231
2,48.16778,17.105829999999997,-5.1,993.0,86.1,1.3,71.8
2,49.2894,21.2739,-13.3,991.0,88.7,0.4,200.3
3,48.16778,17.105829999999997,-5.0,993.0,88.0,0.5,111.3
3,49.2894,21.2739,-13.7,990.9,88.4,0.6,164.2
4,48.16778,17.105829999999997,-5.0,992.4,88.3,0.8,108.7
4,49.2894,21.2739,-13.8,990.4,89.6,0.8,232.5
5,48.16778,17.105829999999997,-5.0,992.3,89.1,0.6,23.9
5,49.2894,21.2739,-14.1,990.1,87.9,0.4,161
6,48.16778,17.105829999999997,-4.9,992.5,89.1,1.4,27.9
6,49.2894,21.2739,-14.2,990.2,87.7,0.4,172.6
7,48.16778,17.105829999999997,-4.9,992.6,89.9,1.5,23
7,49.2894,21.2739,-14.3,990.2,87.3,0.4,270.3
8,48.16778,17.105829999999997,-4.4,992.6,89.3,1.7,294
8,49.2894,21.2739,-12.0,990.0,87.3,0.8,143.1
9,48.16778,17.105829999999997,-3.9,992.6,89.4,1.8,280.4
9,49.2894,21.2739,-9.4,989.9,80.9,0.4,139.2
10,48.16778,17.105829999999997,-2.9,992.6,84.9,0.8,278.5
10,49.2894,21.2739,-7.2,989.4,72.5,0.8,155.3
11,48.16778,17.105829999999997,-2.2,992.1,82.2,1.6,16.8
11,49.2894,21.2739,-6.3,988.8,74.3,0.8,8.8
12,48.16778,17.105829999999997,-2.1,991.4,85.8,2,294.9
12,49.2894,21.2739,-5.4,988.3,66.6,0.7,358
13,48.16778,17.105829999999997,-1.8,991.0,87.1,1.1,52.4
13,49.2894,21.2739,-4.7,987.9,67.8,0.6,355.4
14,48.16778,17.105829999999997,-2.1,991.2,91.8,0.5,353.9
14,49.2894,21.2739,-4.8,987.9,71.9,0.6,221.9
15,48.16778,17.105829999999997,-2.5,991.1,95.4,1.4,95.4
15,49.2894,21.2739,-7.2,988.1,81.7,0.5,260.6
16,48.16778,17.105829999999997,-3.2,990.7,96.8,0.2,19.2
16,49.2894,21.2739,-8.7,988.5,85.3,0.6,161.8
17,48.16778,17.105829999999997,-3.0,990.8,98.8,0.9,223.4
17,49.2894,21.2739,-10.0,988.6,89.9,1.3,212.4
18,48.16778,17.105829999999997,-2.8,990.8,98.5,0.2,270.9
18,49.2894,21.2739,-10.8,988.8,90.7,0.5,170.1
19,48.16778,17.105829999999997,-2.4,990.6,100.0,1.4,236.7
19,49.2894,21.2739,-11.2,989.0,91.6,0.2,312.7
20,48.16778,17.105829999999997,-2.0,990.7,100.0,0.2,169.3
20,49.2894,21.2739,-11.9,988.8,89.8,0.4,119.5
21,48.16778,17.105829999999997,-2.6,990.6,99.7,0.8,60.1
21,49.2894,21.2739,-12.3,989.0,91.3,0.5,244
22,48.16778,17.105829999999997,-2.8,990.3,100.0,1.2,37.7
22,49.2894,21.2739,-12.5,989.0,90.3,0.5,260.5
23,48.16778,17.105829999999997,-2.6,989.8,100.0,1.4,45.2
23,49.2894,21.2739,-12.8,989.1,89.5,0.3,182.5
24,48.16778,17.105829999999997,-2.5,989.8,100.0,0.5,91.2
24,49.2894,21.2739,-13.4,989.0,87.7,0.7,163.9
25,48.16778,17.105829999999997,-2.5,989.8,100.0,0.6,58.3
25,49.2894,21.2739,-13.6,989.1,88.2,0.7,161
26,48.16778,17.105829999999997,-2.3,989.4,100.0,1.6,81.6
26,49.2894,21.2739,-13.9,989.1,87.8,0.2,320.6
27,48.16778,17.105829999999997,-2.6,989.0,100.0,2.9,88.1
27,49.2894,21.2739,-14.5,989.2,87.4,0.4,192.5
28,48.16778,17.105829999999997,-3.1,988.8,100.0,2.2,76.4
28,49.2894,21.2739,-14.8,989.0,87.0,0.8,153.7
29,48.16778,17.105829999999997,-3.7,988.6,100.0,1.1,82.8
29,49.2894,21.2739,-15.2,989.1,86.3,0.7,155
30,48.16778,17.105829999999997,-4.0,988.5,100.0,1.4,81.9
30,49.2894,21.2739,-15.4,989.3,86.3,0.6,228.9
31,48.16778,17.105829999999997,-4.2,988.9,100.0,0.9,92.8
31,49.2894,21.2739,-15.2,989.6,86.0,0.7,208.5
32,48.16778,17.105829999999997,-4.4,989.0,100.0,1.2,66.9
32,49.2894,21.2739,-13.4,989.9,86.8,0.6,116.9
33,48.16778,17.105829999999997,-4.6,988.9,99.0,2.4,83.8
33,49.2894,21.2739,-11.2,990.0,81.6,0.7,151
34,48.16778,17.105829999999997,-4.8,988.7,98.8,2.3,65.8
34,49.2894,21.2739,-10.5,989.8,78.3,1,9.4
35,48.16778,17.105829999999997,-5.2,988.2,99.4,2.3,29.8
35,49.2894,21.2739,-9.3,989.6,81.8,0.7,106.4
36,48.16778,17.105829999999997,-5.2,987.8,99.3,1.2,70.6
36,49.2894,21.2739,-8.6,989.6,81.7,1.9,122
37,48.16778,17.105829999999997,-5.2,987.4,98.9,1.3,51.9
37,49.2894,21.2739,-8.4,989.4,81.1,2.3,107.2
38,48.16778,17.105829999999997,-5.3,987.3,97.5,2.4,60
38,49.2894,21.2739,-8.5,989.3,78.9,0.4,157.5
39,48.16778,17.105829999999997,-5.5,987.5,96.5,2.2,71.2
39,49.2894,21.2739,-8.8,989.1,79.7,0.6,216.1
40,48.16778,17.105829999999997,-5.5,987.6,96.6,2,59.2
40,49.2894,21.2739,-11.0,989.0,88.0,0.7,242.8
41,48.16778,17.105829999999997,-5.6,987.6,96.1,1.7,64.8
41,49.2894,21.2739,-12.4,989.2,87.8,0.8,213.3
42,48.16778,17.105829999999997,-5.7,987.6,96.8,3.2,87.3
42,49.2894,21.2739,-13.3,989.2,88.5,1.1,209
43,48.16778,17.105829999999997,-5.8,987.5,96.5,2.3,90.3
43,49.2894,21.2739,-14.1,988.9,87.4,0.6,198.3
44,48.16778,17.105829999999997,-5.7,987.4,93.8,5.5,81.2
44,49.2894,21.2739,-14.6,988.8,87.8,0.6,243.9
45,48.16778,17.105829999999997,-5.9,987.3,94.4,5.6,88.1
45,49.2894,21.2739,-14.9,988.6,87.5,0.2,203.8
46,48.16778,17.105829999999997,-6.0,986.9,95.7,4.6,86.5
