11:11813;ASBA;BRATISLAVA - KOLIBA   ;48.167780;17.105830; 283.0;2019-03-05T01:00:00Z;   8.6;  971.4; 54.8;  0.00;   5.2; 250.2;
11:11816;ASIB;BRATISLAVA - LETISKO  ;48.170280;17.207500; 128.0;2019-03-05T01:00:00Z;  10.0;  989.4; 47.0;  0.00;    10;   264;
11:11819;ASJB;JASLOVSKE BOHUNICE    ;48.486700;17.670800; 176.0;2019-03-05T01:00:00Z;   9.5;  983.5; 51.0;  0.00;  13.2;   264;
11:11826;ASPP;PIESTANY              ;48.613100;17.832800; 163.0;2019-03-05T01:00:00Z;   9.8;  984.8; 53.0;  0.00;  11.1;   256;
11:11841;ASZI;ZILINA - DOLNY HRICOV ;49.231900;18.617800; 309.0;2019-03-05T01:00:00Z;   4.3;  965.4; 94.0;  0.00;   1.1;   251;
11:11855;ASNI;NITRA                 ;48.280560;18.135560; 132.0;2019-03-05T01:00:00Z;  10.0;  988.1; 49.5;  0.00;   9.2; 274.2;
11:11856;ASMO;MOCHOVCE              ;48.289400;18.456100; 261.0;2019-03-05T01:00:00Z;   8.5;  972.8; 54.0;  0.00;   5.8;   303;
11:11858;ASHU;HURBANOVO             ;47.872500;18.193060; 115.0;2019-03-05T01:00:00Z;  10.8;  991.7; 45.3;  0.00;   7.9; 272.1;
11:11867;ASPE;PRIEVIDZA             ;48.767500;18.593060; 256.0;2019-03-05T01:00:00Z;   8.2;  971.8; 58.5;  0.00;   4.1; 190.7;
11:11880;ASDU;DUDINCE               ;48.169200;18.876100; 139.0;2019-03-05T01:00:00Z;  null;   null; null;  null;   6.2;   254;
11:11903;ASSL;SLIAC                 ;48.641670;19.140280; 313.0;2019-03-05T01:00:00Z;   7.5;  965.3; 61.0;  0.00;     1;   196;
11:11916;ASCH;CHOPOK                ;48.943330;19.588890;1998.0;2019-03-05T01:00:00Z;  -5.4;  782.1; 95.0;  0.00;  null;  null;
11:11918;ASLK;LIESEK                ;49.369400;19.679400; 692.0;2019-03-05T01:00:00Z;   4.0;  919.9; 79.0;  0.00;   6.8;   243;
11:11927;ASLU;LUCENEC - BOLKOVCE    ;48.339440;19.733890; 214.0;2019-03-05T01:00:00Z;   8.7;  977.1; 55.0;  0.00;     3; 256.8;
11:11930;ASLS;LOMNICKY STIT         ;49.195280;20.213330;2635.0;2019-03-05T01:00:00Z;  -8.8;  719.8; 89.9;  null;   7.3; 311.9;
11:11933;ASSP;STRBSKE PLESO         ;49.117780;20.062500;1322.0;2019-03-05T01:00:00Z;  -0.7;  850.6;100.0;  0.00;     3; 254.9;
11:11934;ASTT;POPRAD - TATRY        ;49.068900;20.245600; 694.0;2019-03-05T01:00:00Z;   4.4;  919.4; 75.0;  0.00;   7.8;   244;
11:11938;ASTG;TELGART               ;48.848600;20.189200; 901.0;2019-03-05T01:00:00Z;   2.7;  896.8; 79.0;  0.00;   7.3;   254;
11:11947;ASMB;MOLDAVA NAD BODVOU    ;48.602780;20.998890; 206.0;2019-03-05T01:00:00Z;   9.0;   null; 59.7;  0.00;   2.9; 254.2;
11:11958;ASKH;KOJSOVSKA HOLA        ;48.783060;20.987220;1242.0;2019-03-05T01:00:00Z;   1.0;  859.3; 80.8;  0.00;   5.4; 249.8;
11:11968;ASKZ;KOSICE - LETISKO      ;48.672200;21.222500; 230.0;2019-03-05T01:00:00Z;   8.2;  972.9; 61.0;  0.00;   3.7;   193;
11:11976;ASSK;TISINEC               ;49.215600;21.650000; 216.0;2019-03-05T01:00:00Z;   7.4;  973.7; 74.0;  0.00;   1.1;   268;
11:11978;ASMI;MILHOSTOV             ;48.663060;21.721940; 105.0;2019-03-05T01:00:00Z;   9.9;  987.2; 53.9;  0.00;   1.8; 301.1;
11:11993;ASKC;KAMENICA NAD CIROCHOU ;48.934720;21.994440; 176.0;2019-03-05T01:00:00Z;   9.9;  978.1; 55.0;  0.00;   3.2;  42.6;
11:11803;ASTN;TRENCIN               ;48.866460;17.999419; 203.0;2019-03-05T01:00:00Z;   9.0;  978.8; 56.4;  0.00;   6.2; 229.3;
11:11805;ASSE;SENICA                ;48.689170;17.403060; 228.0;2019-03-05T01:00:00Z;   7.7;  977.0; 62.8;  0.00;   6.1; 274.2;
11:11806;ASMY;MYJAVA                ;48.753330;17.560280; 348.0;2019-03-05T01:00:00Z;   7.2;   null; 67.1;  0.14;   8.8; 276.1;
11:11812;ASMJ;MALY JAVORNIK         ;48.255560;17.152500; 575.0;2019-03-05T01:00:00Z;   5.9;  935.9; 53.8;  0.08;  18.3;   288;
11:11857;ASTU;TURZOVKA              ;49.401390;18.626940; 480.0;2019-03-05T01:00:00Z;   4.3;  943.8; 84.7;  0.00;   2.6; 226.7;
11:11878;ASLM;LIPTOVSKY MIKULAS     ;49.097500;19.590560; 569.0;2019-03-05T01:00:00Z;   4.3;  934.5;100.0;  0.00;   0.4; 297.6;
11:11883;ASVL;VELKE LOVCE           ;48.056000;18.335500; 195.0;2019-03-05T01:00:00Z;  10.5;  982.4; 48.0;  0.00;   5.1; 268.5;
11:11884;ASMU;MUZLA                 ;47.814200;18.595300; 121.0;2019-03-05T01:00:00Z;  11.0;   null; 43.7;  0.07;   5.4; 276.8;
11:11898;ASBB;BANSKA BYSTRICA       ;48.733330;19.115280; 427.0;2019-03-05T01:00:00Z;   6.1;  951.8; 67.2;  0.00;   1.1; 149.1;
11:11900;ASZR;ZIAR NAD HRONOM       ;48.585830;18.850280; 275.0;2019-03-05T01:00:00Z;   8.4;  970.5; 58.5;  0.00;   1.4; 249.5;
11:11901;ASBS;BANSKA STIAVNICA      ;48.449170;18.919720; 575.0;2019-03-05T01:00:00Z;   6.6;  935.5; 56.3;  0.00;   7.1; 258.6;
11:11910;ASLR;LOM NAD RIMAVICOU     ;48.643890;19.649440;1018.0;2019-03-05T01:00:00Z;   2.1;  885.2; 78.0;  0.00;   2.5; 258.2;
11:11917;ASBR;BREZNO                ;48.800280;19.636390; 487.0;2019-03-05T01:00:00Z;   6.2;  943.9; 63.4;  0.00;   0.9; 205.4;
11:11949;ASSW;SPISSKE VLACHY        ;48.943060;20.802220; 380.0;2019-03-05T01:00:00Z;   7.0;  955.5; 79.2;  0.00;   1.9; 280.1;
11:11950;ASPO;PODOLINEC             ;49.261940;20.542500; 566.0;2019-03-05T01:00:00Z;   6.1;  933.6; 62.9;  0.00;     2; 222.3;
11:11952;ASGN;GANOVCE               ;49.035000;20.324200; 703.0;2019-03-05T01:00:00Z;   5.2;  918.3; 64.8;  0.00;   7.9;   274;
11:11962;ASBJ;BARDEJOV              ;49.289400;21.273900; 305.0;2019-03-05T01:00:00Z;   7.8;  962.5; 62.2;  0.00;   0.8; 306.6;
11:11963;ASJK;JAKUBOVANY            ;49.108900;21.140800; 410.0;2019-03-05T01:00:00Z;   7.3;  951.5; 65.4;  0.00;   2.5; 268.9;
11:11818;ASGB;GABCIKOVO             ;47.897780;17.566110; 114.0;2019-03-05T01:00:00Z;  10.3;  992.0; 50.2;  0.00;   7.5; 278.6;
11:11893;ASZY;MARTIN - ZABOKREKY    ;49.026670;18.922780; 425.0;2019-03-05T01:00:00Z;   6.8;  951.8; 65.2;  0.00;   3.2; 206.1;
11:11936;ASTJ;TATRANSKA JAVORINA    ;49.263890;20.139440;1017.0;2019-03-05T01:00:00Z;   3.5;  883.3; 63.2;  0.00;   0.7; 322.7;
11:11957;ASST;STARA LESNA           ;49.152220;20.289440; 807.0;2019-03-05T01:00:00Z;   3.6;  906.5; 73.7;  0.00;   1.6; 224.2;
11:11977;ASKB;KRASNY BROD           ;49.253060;21.911940; 305.0;2019-03-05T01:00:00Z;   6.1;   null; 83.9;  0.00;   0.9; 147.9;
11:11865;ASZA;ZILINA                ;49.203610;18.746390; 365.0;2019-03-05T01:00:00Z;   7.6;   null; 60.6;  0.00;   2.3; 251.3;
11:11833;ASMP;MODRA - PIESOK        ;48.372780;17.273610; 530.0;2019-03-05T01:00:00Z;   6.1;   null; 55.5;  0.24;     9; 303.1;
11:11868;ASOL;ORAVSKA LESNA         ;49.368060;19.182500; 784.0;2019-03-05T01:00:00Z;   2.4;  910.8; 90.2;  0.00;   3.5; 252.2;
11:11872;ASRK;RUZOMBEROK - STIAVNICKA;49.072500;19.341110; 504.0;2019-03-05T01:00:00Z;   6.4;   null; 69.3;  0.00;   2.1; 188.2;
