11:11813;ASBA;BRATISLAVA - KOLIBA   ;48.167780;17.105830; 283.0;2016-08-25T14:00:00Z;  27.6;  988.8; 40.3;  0.00;   1.4;  20.9;
11:11816;ASIB;BRATISLAVA - LETISKO  ;48.170280;17.207500; 128.0;2016-08-25T14:00:00Z;  26.8; 1006.5; 42.0;  0.00;   3.3;    67;
11:11819;ASJB;JASLOVSKE BOHUNICE    ;48.486700;17.670800; 176.0;2016-08-25T14:00:00Z;  27.8; 1001.7; 41.9;  0.00;   0.7;   130;
11:11826;ASPP;PIESTANY              ;48.613100;17.832800; 163.0;2016-08-25T14:00:00Z;  26.7; 1003.1; 44.0;  0.00;   0.6;    14;
11:11841;ASZI;ZILINA - DOLNY HRICOV ;49.231900;18.617800; 309.0;2016-08-25T14:00:00Z;  26.2;  986.1; 41.0;  0.00;   2.3;    91;
11:11855;ASNI;NITRA                 ;48.280560;18.135560; 132.0;2016-08-25T14:00:00Z;  27.8; 1006.3; 41.9;  0.00;   2.4; 114.9;
11:11856;ASMO;MOCHOVCE              ;48.289400;18.456100; 261.0;2016-08-25T14:00:00Z;  null;  991.8; null;  null;   0.2;   238;
11:11858;ASHU;HURBANOVO             ;47.872500;18.193060; 115.0;2016-08-25T14:00:00Z;  28.0; 1008.9; 39.5;  0.00;   1.9;  93.3;
11:11867;ASPE;PRIEVIDZA             ;48.767500;18.593060; 256.0;2016-08-25T14:00:00Z;  27.9;  992.0; 41.8;  0.00;   1.6; 210.1;
11:11880;ASDU;DUDINCE               ;48.169200;18.876100; 139.0;2016-08-25T14:00:00Z;  28.8; 1005.8; null;  0.00;   1.4;    37;
11:11903;ASSL;SLIAC                 ;48.641670;19.140280; 313.0;2016-08-25T14:00:00Z;  null;   null; null;  null;  null;  null;
11:11916;ASCH;CHOPOK                ;48.943330;19.588890;1998.0;2016-08-25T14:00:00Z;  null;   null; null;  null;  null;  null;
11:11918;ASLK;LIESEK                ;49.369400;19.679400; 692.0;2016-08-25T14:00:00Z;  22.2;  944.2; 68.5;  0.00;   4.7;    54;
11:11927;ASLU;LUCENEC - BOLKOVCE    ;48.339440;19.733890; 214.0;2016-08-25T14:00:00Z;  26.5;  997.5; 46.4;  0.00;   4.2;  77.5;
11:11930;ASLS;LOMNICKY STIT         ;49.195280;20.213330;2635.0;2016-08-25T14:00:00Z;  null;  748.8; null;  null;     1;  null;
11:11933;ASSP;STRBSKE PLESO         ;49.117780;20.062500;1322.0;2016-08-25T14:00:00Z;  17.6;  876.9; 67.9;  0.00;   1.6;  77.4;
11:11934;ASTT;POPRAD - TATRY        ;49.068900;20.245600; 694.0;2016-08-25T14:00:00Z;  20.9;  944.1; 50.0;  0.00;   1.9;   105;
11:11938;ASTG;TELGART               ;48.848600;20.189200; 901.0;2016-08-25T14:00:00Z;  20.9;  920.0; null;  0.00;     3;    96;
