11:11813;ASBA;BRATISLAVA - KOLIBA   ;48.167780;17.105830; 283.0;2017-03-18T09:00:00Z;   7.5;  972.3;100.0;  2.26;   4.8; 240.2;
11:11816;ASIB;BRATISLAVA - LETISKO  ;48.170280;17.207500; 128.0;2017-03-18T09:00:00Z;   9.0;  990.8; 84.0;  2.40;   9.5;   253;
11:11819;ASJB;JASLOVSKE BOHUNICE    ;48.486700;17.670800; 176.0;2017-03-18T09:00:00Z;   6.5;  985.5; 95.0;  2.20;   2.7;   198;
11:11826;ASPP;PIESTANY              ;48.613100;17.832800; 163.0;2017-03-18T09:00:00Z;   5.7;  986.9; 94.0;  1.10;   1.7;   174;
11:11841;ASZI;ZILINA - DOLNY HRICOV ;49.231900;18.617800; 309.0;2017-03-18T09:00:00Z;   2.5;  968.2; 92.0;  1.20;   3.3;   251;
11:11855;ASNI;NITRA                 ;48.280560;18.135560; 132.0;2017-03-18T09:00:00Z;   7.0;  990.6;100.0;  1.45;   2.3; 269.6;
11:11856;ASMO;MOCHOVCE              ;48.289400;18.456100; 261.0;2017-03-18T09:00:00Z;   4.9;  975.3; 93.0;  1.30;     1;    14;
11:11858;ASHU;HURBANOVO             ;47.872500;18.193060; 115.0;2017-03-18T09:00:00Z;   7.6;  993.8; 90.3;  2.20;   3.8; 237.4;
11:11867;ASPE;PRIEVIDZA             ;48.767500;18.593060; 256.0;2017-03-18T09:00:00Z;   4.5;  975.1;100.0;  0.90;   2.6; 219.1;
11:11880;ASDU;DUDINCE               ;48.169200;18.876100; 139.0;2017-03-18T09:00:00Z;   6.5;  989.9; 88.0;  0.30;   2.3;   229;
11:11903;ASSL;SLIAC                 ;48.641670;19.140280; 313.0;2017-03-18T09:00:00Z;   3.4;  968.5; 94.0;  1.40;   1.3;   141;
11:11916;ASCH;CHOPOK                ;48.943330;19.588890;1998.0;2017-03-18T09:00:00Z;  null;   null; null;  null;  null;  null;
11:11918;ASLK;LIESEK                ;49.369400;19.679400; 692.0;2017-03-18T09:00:00Z;   1.6;   null; 96.2;  0.20;   5.1;   248;
11:11927;ASLU;LUCENEC - BOLKOVCE    ;48.339440;19.733890; 214.0;2017-03-18T09:00:00Z;   5.9;  980.4; 92.5;  0.98;   0.5; 244.6;
11:11930;ASLS;LOMNICKY STIT         ;49.195280;20.213330;2635.0;2017-03-18T09:00:00Z;  -8.1;  721.2; 90.9;  null;     1;  null;
11:11933;ASSP;STRBSKE PLESO         ;49.117780;20.062500;1322.0;2017-03-18T09:00:00Z;  -0.8;  852.6;100.0;  0.65;   2.2; 244.4;
11:11934;ASTT;POPRAD - TATRY        ;49.068900;20.245600; 694.0;2017-03-18T09:00:00Z;   2.1;  922.6; 92.0;  0.30;   6.1;   240;
11:11938;ASTG;TELGART               ;48.848600;20.189200; 901.0;2017-03-18T09:00:00Z;   0.1;   null; 97.0;  0.40;   6.8;   230;
11:11947;ASMB;MOLDAVA NAD BODVOU    ;48.602780;20.998890; 206.0;2017-03-18T09:00:00Z;   5.9;   null; 97.1;  0.20;   0.5; 260.3;
11:11958;ASKH;KOJSOVSKA HOLA        ;48.783060;20.987220;1242.0;2017-03-18T09:00:00Z;  -1.8;  861.4; 88.7;  0.34;   0.2;     0;
11:11968;ASKZ;KOSICE - LETISKO      ;48.672200;21.222500; 230.0;2017-03-18T09:00:00Z;   4.9;  977.8; 86.0;  0.80;   0.6;    45;
11:11976;ASSK;TISINEC               ;49.215600;21.650000; 216.0;2017-03-18T09:00:00Z;   4.8;   null; 88.0;  0.40;   2.8;   175;
11:11978;ASMI;MILHOSTOV             ;48.663060;21.721940; 105.0;2017-03-18T09:00:00Z;   5.5;  993.4;100.0;  0.79;   1.5; 273.4;
11:11993;ASKC;KAMENICA NAD CIROCHOU ;48.934720;21.994440; 176.0;2017-03-18T09:00:00Z;   5.2;  984.3; 92.3;  0.59;   2.2; 185.1;
11:11803;ASTN;TRENCIN               ;48.866460;17.999419; 203.0;2017-03-18T09:00:00Z;   4.3;  981.5;100.0;  0.52;   3.3; 224.1;
11:11805;ASSE;SENICA                ;48.689170;17.403060; 228.0;2017-03-18T09:00:00Z;   6.7;  978.2;100.0;  1.41;   3.4; 247.2;
