11:11813;ASBA;BRATISLAVA - KOLIBA   ;48.167780;17.105830; 283.0;2018-09-11T08:00:00Z;  22.5;  990.1; 50.3;  0.00;   4.2; 283.2;
11:11816;ASIB;BRATISLAVA - LETISKO  ;48.170280;17.207500; 128.0;2018-09-11T08:00:00Z;  23.6; 1007.9; 51.0;  0.00;   4.7;   314;
11:11819;ASJB;JASLOVSKE BOHUNICE    ;48.486700;17.670800; 176.0;2018-09-11T08:00:00Z;  18.7; 1003.4; 68.8;  0.00;   2.7;    18;
11:11826;ASPP;PIESTANY              ;48.613100;17.832800; 163.0;2018-09-11T08:00:00Z;  18.1; 1005.0; 73.0;  0.00;   3.9;   350;
11:11841;ASZI;ZILINA - DOLNY HRICOV ;49.231900;18.617800; 309.0;2018-09-11T08:00:00Z;  15.4;  988.6; 76.0;  0.00;   0.2;   356;
11:11855;ASNI;NITRA                 ;48.280560;18.135560; 132.0;2018-09-11T08:00:00Z;  19.9; 1007.9; 65.6;  0.00;   1.3;   268;
11:11856;ASMO;MOCHOVCE              ;48.289400;18.456100; 261.0;2018-09-11T08:00:00Z;  19.5;  992.8; 60.0;  0.00;   1.2;   114;
11:11858;ASHU;HURBANOVO             ;47.872500;18.193060; 115.0;2018-09-11T08:00:00Z;  20.0; 1010.5; 70.4;  0.00;   0.4; 196.9;
11:11867;ASPE;PRIEVIDZA             ;48.767500;18.593060; 256.0;2018-09-11T08:00:00Z;  18.2;  993.6; 66.7;  0.00;   1.4;  38.4;
11:11880;ASDU;DUDINCE               ;48.169200;18.876100; 139.0;2018-09-11T08:00:00Z;  18.7; 1007.1; 67.7;  0.00;   0.8;    71;
11:11903;ASSL;SLIAC                 ;48.641670;19.140280; 313.0;2018-09-11T08:00:00Z;  15.1;  987.3; 76.0;  0.00;     0;   326;
11:11916;ASCH;CHOPOK                ;48.943330;19.588890;1998.0;2018-09-11T08:00:00Z;   8.0;  808.1; 82.0;  0.00;   9.6; 310.3;
