11:11901;ASBS;BANSKA STIAVNICA      ;48.449170;18.919720; 575.0;2019-01-10T21:00:00Z;  -4.2;  945.4;100.0;  0.00;   2.2;  53.5;
11:11910;ASLR;LOM NAD RIMAVICOU     ;48.643890;19.649440;1018.0;2019-01-10T21:00:00Z;  -7.6;  893.3; 91.5;  0.00;   0.9; 306.8;
11:11917;ASBR;BREZNO                ;48.800280;19.636390; 487.0;2019-01-10T21:00:00Z; -11.0;  956.0; 88.6;  0.00;   0.7;   228;
11:11949;ASSW;SPISSKE VLACHY        ;48.943060;20.802220; 380.0;2019-01-10T21:00:00Z;  -3.8;  970.5;100.0;  0.00;     4;    22;
11:11950;ASPO;PODOLINEC             ;49.261940;20.542500; 566.0;2019-01-10T21:00:00Z;  -5.3;  948.4; 85.7;  0.00;   1.1;  35.6;
11:11952;ASGN;GANOVCE               ;49.035000;20.324200; 703.0;2019-01-10T21:00:00Z;  -5.6;  931.1; 88.4;  0.00;   6.6;    43;
11:11962;ASBJ;BARDEJOV              ;49.289400;21.273900; 305.0;2019-01-10T21:00:00Z;  -4.3;  979.6; 78.2;  0.00;   1.7; 325.5;
11:11963;ASJK;JAKUBOVANY            ;49.108900;21.140800; 410.0;2019-01-10T21:00:00Z;  -4.1;  966.6; 77.4;  0.00;   4.4; 302.2;
11:11818;ASGB;GABCIKOVO             ;47.897780;17.566110; 114.0;2019-01-10T21:00:00Z;   0.1; 1003.7; 88.6;  0.00;   6.2; 330.7;
11:11893;ASZY;MARTIN - ZABOKREKY    ;49.026670;18.922780; 425.0;2019-01-10T21:00:00Z;  -2.2;  964.7; 78.2;  0.00;   3.8;   7.2;
11:11936;ASTJ;TATRANSKA JAVORINA    ;49.263890;20.139440;1017.0;2019-01-10T21:00:00Z;  -7.4;  895.6; 94.6;  0.00;   0.2; 182.8;
11:11957;ASST;STARA LESNA           ;49.152220;20.289440; 807.0;2019-01-10T21:00:00Z;  -5.8;  919.1; 88.7;  0.00;   0.3; 267.8;
11:11977;ASKB;KRASNY BROD           ;49.253060;21.911940; 305.0;2019-01-10T21:00:00Z;  -4.9;   null; 80.8;  0.00;   1.8; 354.4;
11:11865;ASZA;ZILINA                ;49.203610;18.746390; 365.0;2019-01-10T21:00:00Z;  -2.0;   null; 75.7;  0.00;   3.1;  48.1;
11:11833;ASMP;MODRA - PIESOK        ;48.372780;17.273610; 530.0;2019-01-10T21:00:00Z;  -3.2;   null; 90.5;  0.04;   6.2;   316;
11:11868;ASOL;ORAVSKA LESNA         ;49.368060;19.182500; 784.0;2019-01-10T21:00:00Z;  -6.2;  923.4; 90.1;  0.05;     1;  31.3;
11:11872;ASRK;RUZOMBEROK - STIAVNICKA;49.072500;19.341110; 504.0;2019-01-10T21:00:00Z;  -2.9;   null; 74.8;  0.00;   0.3; 245.4;
